from_location_id,to_location_id,google_distance_km,sectional_tat
50,50,0,0
50,125,282.213,26160000
50,54,74.646,10800000
50,153,208.759,18000000
50,168,68.947,10800000
50,53,140.111,18000000
50,10,1158.275,97200000
50,11,1198.272,143792640
50,129,1477.325,177279000
50,143,1394.731,167367720
50,127,1349.624,161954880
50,24,1335.889,160306680
50,25,1439.717,172766040
50,12,2333.677,223200000
50,111,2478.618,297434160
50,135,2073.584,248830080
50,171,2537.143,304457160
50,13,1584.447,144000000
50,108,1462.695,175523399
50,14,1653.518,172800000
50,15,262.584,28800000
50,16,2074.53,248943600
50,17,1720.334,172800000
50,18,1090.265,75600000
50,19,464.904,36000000
50,20,2372.534,226800000
50,21,1236.879,111600000
50,22,1623.378,194805360
50,23,1618.481,194217720
50,87,147.089,17650680
50,89,2662.391,319486920
50,90,714.283,64800000
50,91,1525.683,183081960
50,92,1880.705,225684600
50,93,653.778,78453360
50,95,2521.053,302526360
50,96,2034.174,244100880
50,97,1939.075,232689000
50,98,143.519,17222280
50,99,1256.238,108000000
50,103,2680.747,321689640
50,104,2666.335,319960200
50,105,1412.207,144000000
50,110,2774.568,332948159
50,114,976.074,117128880
50,117,364.917,43790040
50,119,1797.723,215726759
50,121,849.533,101943960
50,124,1395.308,167436960
50,126,977.083,117249960
50,128,846.546,101585520
50,129,1477.325,177279000
50,131,397.49,47698800
50,133,294.642,35357040
50,159,220.709,25200000
50,195,2858.873,343064760
50,196,2109.533,253143959
50,473,2911.282,349353840
125,50,265.785,24420000
125,125,0,0
125,54,232.163,27859559
125,153,75.764,10800000
125,168,332.393,39887160
125,53,143.176,18000000
125,10,1234.818,148178160
125,11,1309.302,157116240
125,129,1620.63,194475600
125,143,1471.274,176552879
125,127,1426.167,171140040
125,24,1466.377,175965240
125,25,1570.204,188424480
125,12,2597.122,311654640
125,111,2742.064,329047680
125,135,2294.409,275329080
125,171,2800.589,336070680
125,13,1714.935,205792200
125,108,1606,192720000
125,14,1916.964,230035680
125,15,513.148,61577760
125,16,2337.976,280557120
125,17,1983.78,238053600
125,18,1233.57,148028400
125,19,686.137,82336440
125,20,2635.98,316317600
125,21,1500.324,180038880
125,22,1886.824,226418879
125,23,1761.787,211414440
125,87,390.655,46878599
125,89,2925.836,351100319
125,90,977.729,117327480
125,91,1789.129,214695480
125,92,2144.151,257298120
125,93,917.224,110066880
125,95,2784.499,334139880
125,96,2297.62,275714400
125,97,2202.521,264302520
125,98,378.455,45414599
125,99,1519.684,182362080
125,103,2944.193,353303160
125,104,2929.78,351573600
125,105,1675.652,201078240
125,110,3038.013,364561560
125,114,1239.52,148742400
125,117,628.363,75403560
125,119,2061.169,247340279
125,121,1112.979,133557480
125,124,1658.754,199050479
125,126,1240.529,148863480
125,128,977.35,117282000
125,129,1620.63,194475600
125,131,660.936,79312320
125,133,558.087,66970439
125,159,484.154,58098480
125,195,3122.319,374678280
125,196,2330.358,279642959
125,473,3174.727,380967240
54,50,58.262,10800000
54,125,231.568,27788160
54,54,0,0
54,153,158.114,17100000
54,168,124.869,14984280
54,53,121.068,14528159
54,10,1214.197,145703640
54,11,1254.194,150503280
54,129,1533.246,183989520
54,143,1450.652,174078240
54,127,1405.546,168665520
54,24,1391.811,167017320
54,25,1495.638,179476560
54,12,2389.599,286751880
54,111,2534.54,304144800
54,135,2129.505,255540600
54,171,2593.065,311167800
54,13,1640.369,196844279
54,108,1518.617,182234040
54,14,1709.44,205132800
54,15,318.506,38220719
54,16,2130.452,255654240
54,17,1776.256,213150720
